hex_id,geometry
261,"POLYGON ((103.8279381341343 1.451773728956901, 103.8289065280028 1.451214626496284, 103.8289065280028 1.45009642157505, 103.8279381341343 1.449537319114434, 103.8269697402659 1.45009642157505, 103.8269697402659 1.451214626496284, 103.8279381341343 1.451773728956901))"
270,"POLYGON ((103.8134122261079 1.45009642157505, 103.8143806199764 1.449537319114434, 103.8143806199764 1.4484191141932, 103.8134122261079 1.447860011732583, 103.8124438322395 1.4484191141932, 103.8124438322395 1.449537319114434, 103.8134122261079 1.45009642157505))"
271,"POLYGON ((103.8153490138448 1.45009642157505, 103.8163174077132 1.449537319114434, 103.8163174077132 1.4484191141932, 103.8153490138448 1.447860011732583, 103.8143806199764 1.4484191141932, 103.8143806199764 1.449537319114434, 103.8153490138448 1.45009642157505))"
272,"POLYGON ((103.8172858015816 1.45009642157505, 103.8182541954501 1.449537319114434, 103.8182541954501 1.4484191141932, 103.8172858015816 1.447860011732583, 103.8163174077132 1.4484191141932, 103.8163174077132 1.449537319114434, 103.8172858015816 1.45009642157505))"
273,"POLYGON ((103.8192225893185 1.45009642157505, 103.8201909831869 1.449537319114434, 103.8201909831869 1.4484191141932, 103.8192225893185 1.447860011732583, 103.8182541954501 1.4484191141932, 103.8182541954501 1.449537319114434, 103.8192225893185 1.45009642157505))"
276,"POLYGON ((103.8250329525291 1.45009642157505, 103.8260013463975 1.449537319114434, 103.8260013463975 1.4484191141932, 103.8250329525291 1.447860011732583, 103.8240645586606 1.4484191141932, 103.8240645586606 1.449537319114434, 103.8250329525291 1.45009642157505))"
277,"POLYGON ((103.8269697402659 1.45009642157505, 103.8279381341343 1.449537319114434, 103.8279381341343 1.4484191141932, 103.8269697402659 1.447860011732583, 103.8260013463975 1.4484191141932, 103.8260013463975 1.449537319114434, 103.8269697402659 1.45009642157505))"
287,"POLYGON ((103.8143806199764 1.4484191141932, 103.8153490138448 1.447860011732583, 103.8153490138448 1.44674180681135, 103.8143806199764 1.446182704350733, 103.813412226108 1.44674180681135, 103.813412226108 1.447860011732583, 103.8143806199764 1.4484191141932))"
288,"POLYGON ((103.8163174077132 1.4484191141932, 103.8172858015816 1.447860011732583, 103.8172858015816 1.44674180681135, 103.8163174077132 1.446182704350733, 103.8153490138448 1.44674180681135, 103.8153490138448 1.447860011732583, 103.8163174077132 1.4484191141932))"
289,"POLYGON ((103.8182541954501 1.4484191141932, 103.8192225893185 1.447860011732583, 103.8192225893185 1.44674180681135, 103.8182541954501 1.446182704350733, 103.8172858015817 1.44674180681135, 103.8172858015817 1.447860011732583, 103.8182541954501 1.4484191141932))"
290,"POLYGON ((103.8201909831869 1.4484191141932, 103.8211593770554 1.447860011732583, 103.8211593770554 1.44674180681135, 103.8201909831869 1.446182704350733, 103.8192225893185 1.44674180681135, 103.8192225893185 1.447860011732583, 103.8201909831869 1.4484191141932))"
291,"POLYGON ((103.8221277709238 1.4484191141932, 103.8230961647922 1.447860011732583, 103.8230961647922 1.44674180681135, 103.8221277709238 1.446182704350733, 103.8211593770554 1.44674180681135, 103.8211593770554 1.447860011732583, 103.8221277709238 1.4484191141932))"
303,"POLYGON ((103.8153490138448 1.44674180681135, 103.8163174077132 1.446182704350733, 103.8163174077132 1.4450644994295, 103.8153490138448 1.444505396968883, 103.8143806199764 1.4450644994295, 103.8143806199764 1.446182704350733, 103.8153490138448 1.44674180681135))"
304,"POLYGON ((103.8172858015816 1.44674180681135, 103.8182541954501 1.446182704350733, 103.8182541954501 1.4450644994295, 103.8172858015816 1.444505396968883, 103.8163174077132 1.4450644994295, 103.8163174077132 1.446182704350733, 103.8172858015816 1.44674180681135))"
305,"POLYGON ((103.8192225893185 1.44674180681135, 103.8201909831869 1.446182704350733, 103.8201909831869 1.4450644994295, 103.8192225893185 1.444505396968883, 103.8182541954501 1.4450644994295, 103.8182541954501 1.446182704350733, 103.8192225893185 1.44674180681135))"
306,"POLYGON ((103.8211593770554 1.44674180681135, 103.8221277709238 1.446182704350733, 103.8221277709238 1.4450644994295, 103.8211593770554 1.444505396968883, 103.8201909831869 1.4450644994295, 103.8201909831869 1.446182704350733, 103.8211593770554 1.44674180681135))"
307,"POLYGON ((103.8230961647922 1.44674180681135, 103.8240645586606 1.446182704350733, 103.8240645586606 1.4450644994295, 103.8230961647922 1.444505396968883, 103.8221277709238 1.4450644994295, 103.8221277709238 1.446182704350733, 103.8230961647922 1.44674180681135))"
319,"POLYGON ((103.8182541954501 1.4450644994295, 103.8192225893185 1.444505396968883, 103.8192225893185 1.44338719204765, 103.8182541954501 1.442828089587033, 103.8172858015817 1.44338719204765, 103.8172858015817 1.444505396968883, 103.8182541954501 1.4450644994295))"
320,"POLYGON ((103.8201909831869 1.4450644994295, 103.8211593770554 1.444505396968883, 103.8211593770554 1.44338719204765, 103.8201909831869 1.442828089587033, 103.8192225893185 1.44338719204765, 103.8192225893185 1.444505396968883, 103.8201909831869 1.4450644994295))"
321,"POLYGON ((103.8221277709238 1.4450644994295, 103.8230961647922 1.444505396968883, 103.8230961647922 1.44338719204765, 103.8221277709238 1.442828089587033, 103.8211593770554 1.44338719204765, 103.8211593770554 1.444505396968883, 103.8221277709238 1.4450644994295))"
447,"POLYGON ((103.79985471195 1.45009642157505, 103.8008231058184 1.449537319114434, 103.8008231058184 1.4484191141932, 103.79985471195 1.447860011732583, 103.7988863180816 1.4484191141932, 103.7988863180816 1.449537319114434, 103.79985471195 1.45009642157505))"
448,"POLYGON ((103.8017914996868 1.45009642157505, 103.8027598935552 1.449537319114434, 103.8027598935552 1.4484191141932, 103.8017914996868 1.447860011732583, 103.8008231058184 1.4484191141932, 103.8008231058184 1.449537319114434, 103.8017914996868 1.45009642157505))"
