Name,Description,geometry
kml_62,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.765542796641 1.30860263376696 0, 103.76560666393 1.30852315275054 0, 103.765815320275 1.30821472412622 0, 103.76615773844 1.30775069238798 0)"
kml_63,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.766330942559 1.30832011635112 0, 103.766213048073 1.30847723197579 0, 103.765821818728 1.30901534337829 0, 103.765525281789 1.30935217658812 0)"
kml_64,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.766796034608 1.30990907577142 0, 103.766565402218 1.30975060330084 0, 103.766272684656 1.30945844874963 0, 103.766124520412 1.30935762715009 0, 103.765964637743 1.30930829971769 0, 103.765818614318 1.30929115263886 0, 103.765671846092 1.30930408558572 0, 103.765525281789 1.30935217658812 0)"
kml_65,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.765525281789 1.30935217658812 0, 103.765103648776 1.30972841761639 0)"
kml_66,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.76178999878 1.31269728114762 0, 103.762172516885 1.31245779031463 0)"
kml_67,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.760566874354 1.31291558260944 0, 103.761579998341 1.31281271263514 0, 103.76178999878 1.31269728114762 0)"
kml_68,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.756799456223 1.31830035309945 0, 103.756958981357 1.31800437239711 0, 103.757215756644 1.31767648600324 0, 103.757472125671 1.31735013336666 0, 103.75793826972 1.31679989462874 0, 103.758438485083 1.31620943975571 0, 103.759793783217 1.31471025293043 0, 103.760857164804 1.31363794368356 0, 103.76178999878 1.31269728114762 0)"
kml_69,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.760950920722 1.3141235102897 0, 103.759664551359 1.31546870115148 0)"
kml_70,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.761318326362 1.31633151205373 0, 103.760659800188 1.3156923354123 0, 103.760238580617 1.3154165508085 0, 103.760053946984 1.31537301922693 0, 103.759863808795 1.31539255781036 0, 103.759664551359 1.31546870115148 0)"
kml_71,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.759664551359 1.31546870115148 0, 103.75946934281 1.31563542297504 0, 103.759043986713 1.31598926526106 0)"
kml_72,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.666552470427 1.32156296911427 0, 103.666981541613 1.32167523828963 0, 103.667295968331 1.32180776369762 0)"
kml_73,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.705260884707 1.32212985012043 0, 103.70412275023 1.32208936035564 0)"
kml_74,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.699080615015 1.32222230098208 0, 103.700295976973 1.32226256391118 0)"
kml_75,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.746340912164 1.32284767134443 0, 103.746606419302 1.32284016633966 0, 103.74929866836 1.32249583175317 0)"
kml_76,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.675976758885 1.32275911274451 0, 103.674920923709 1.32255669071905 0)"
kml_77,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.715386000753 1.32235602327522 0, 103.715832873159 1.32259397067826 0)"
kml_78,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.682819073227 1.32247625584905 0, 103.683672570316 1.32264866100464 0)"
kml_79,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.691108560611 1.32295153591155 0, 103.690002460332 1.32284228374118 0)"
kml_80,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.745751480002 1.32225661180356 0, 103.746012838411 1.3226361806557 0, 103.746129215355 1.32273691911999 0, 103.746340912164 1.32284767134443 0)"
kml_81,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.74577078924 1.32286463330476 0, 103.746340912164 1.32284767134443 0)"
kml_82,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.663543394885 1.32241013813026 0, 103.663662262972 1.32245082264284 0, 103.663752598882 1.32253936305026 0, 103.663802518059 1.32262789886852 0, 103.663824194854 1.32270446895795 0, 103.663831823833 1.32285900482277 0, 103.663785159681 1.3229618916307 0, 103.66373404067 1.32303606468006 0, 103.663666280194 1.3231018622031 0, 103.663573557442 1.32316287212849 0, 103.663479423297 1.32319402991224 0, 103.663380090556 1.32320592897401 0, 103.663029393328 1.32363660832357 0)"
