,geometry
8411,"POLYGON ((103.779518440713 1.30081606459038, 103.7804868345815 1.300256962129763, 103.7804868345815 1.29913875720853, 103.779518440713 1.298579654747913, 103.7785500468446 1.29913875720853, 103.7785500468446 1.300256962129763, 103.779518440713 1.30081606459038))"
8412,"POLYGON ((103.7814552284499 1.30081606459038, 103.7824236223183 1.300256962129763, 103.7824236223183 1.29913875720853, 103.7814552284499 1.298579654747913, 103.7804868345815 1.29913875720853, 103.7804868345815 1.300256962129763, 103.7814552284499 1.30081606459038))"
8413,"POLYGON ((103.7833920161867 1.30081606459038, 103.7843604100552 1.300256962129763, 103.7843604100552 1.29913875720853, 103.7833920161867 1.298579654747913, 103.7824236223183 1.29913875720853, 103.7824236223183 1.300256962129763, 103.7833920161867 1.30081606459038))"
8414,"POLYGON ((103.7853288039236 1.30081606459038, 103.786297197792 1.300256962129763, 103.786297197792 1.29913875720853, 103.7853288039236 1.298579654747913, 103.7843604100552 1.29913875720853, 103.7843604100552 1.300256962129763, 103.7853288039236 1.30081606459038))"
8415,"POLYGON ((103.7872655916604 1.30081606459038, 103.7882339855289 1.300256962129763, 103.7882339855289 1.29913875720853, 103.7872655916604 1.298579654747913, 103.786297197792 1.29913875720853, 103.786297197792 1.300256962129763, 103.7872655916604 1.30081606459038))"
8416,"POLYGON ((103.7892023793973 1.30081606459038, 103.7901707732657 1.300256962129763, 103.7901707732657 1.29913875720853, 103.7892023793973 1.298579654747913, 103.7882339855289 1.29913875720853, 103.7882339855289 1.300256962129763, 103.7892023793973 1.30081606459038))"
8417,"POLYGON ((103.7911391671341 1.30081606459038, 103.7921075610026 1.300256962129763, 103.7921075610026 1.29913875720853, 103.7911391671341 1.298579654747913, 103.7901707732657 1.29913875720853, 103.7901707732657 1.300256962129763, 103.7911391671341 1.30081606459038))"
8418,"POLYGON ((103.793075954871 1.30081606459038, 103.7940443487394 1.300256962129763, 103.7940443487394 1.29913875720853, 103.793075954871 1.298579654747913, 103.7921075610026 1.29913875720853, 103.7921075610026 1.300256962129763, 103.793075954871 1.30081606459038))"
8419,"POLYGON ((103.7950127426079 1.30081606459038, 103.7959811364763 1.300256962129763, 103.7959811364763 1.29913875720853, 103.7950127426079 1.298579654747913, 103.7940443487394 1.29913875720853, 103.7940443487394 1.300256962129763, 103.7950127426079 1.30081606459038))"
8420,"POLYGON ((103.7969495303447 1.30081606459038, 103.7979179242131 1.300256962129763, 103.7979179242131 1.29913875720853, 103.7969495303447 1.298579654747913, 103.7959811364763 1.29913875720853, 103.7959811364763 1.300256962129763, 103.7969495303447 1.30081606459038))"
8421,"POLYGON ((103.7988863180816 1.30081606459038, 103.79985471195 1.300256962129763, 103.79985471195 1.29913875720853, 103.7988863180816 1.298579654747913, 103.7979179242131 1.29913875720853, 103.7979179242131 1.300256962129763, 103.7988863180816 1.30081606459038))"
8422,"POLYGON ((103.8008231058184 1.30081606459038, 103.8017914996868 1.300256962129763, 103.8017914996868 1.29913875720853, 103.8008231058184 1.298579654747913, 103.79985471195 1.29913875720853, 103.79985471195 1.300256962129763, 103.8008231058184 1.30081606459038))"
8423,"POLYGON ((103.8027598935553 1.30081606459038, 103.8037282874237 1.300256962129763, 103.8037282874237 1.29913875720853, 103.8027598935553 1.298579654747913, 103.8017914996868 1.29913875720853, 103.8017914996868 1.300256962129763, 103.8027598935553 1.30081606459038))"
8424,"POLYGON ((103.8056650751605 1.300232867154012, 103.8056650751605 1.29913875720853, 103.8046966812921 1.298579654747913, 103.8037282874237 1.29913875720853, 103.8037282874237 1.300256962129763, 103.8046605594093 1.300795209611614, 103.804803771942 1.3004823930227, 103.805123881249 1.30040789688888, 103.805105908234 1.3003555050315, 103.8056650751605 1.300232867154012))"
8425,"POLYGON ((103.8076018628974 1.299933928828066, 103.8076018628974 1.29913875720853, 103.806633469029 1.298579654747913, 103.8056650751605 1.29913875720853, 103.8056650751605 1.300232867154009, 103.805889814255 1.30018357681829, 103.805905135703 1.30023369868607, 103.805908743234 1.30024549978044, 103.806263580325 1.30017300071634, 103.806326784411 1.30013228961175, 103.806422855741 1.30006613274865, 103.806498700633 1.30001778712831, 103.806579602452 1.29997707530201, 103.806680728717 1.2999363636879, 103.807065010095 1.29987020984425, 103.807156023758 1.2998651219351, 103.807277375759 1.29987275694056, 103.807436648869 1.29989820379476, 103.8076018628974 1.299933928828066))"
8426,"POLYGON ((103.8087051108951 1.298657512815767, 103.8085702567658 1.298579654747913, 103.8076018628974 1.29913875720853, 103.8076018628974 1.29993392882807, 103.807679787396 1.29995077882159, 103.807699168777 1.29988470975123, 103.807731733404 1.29974967305778, 103.808399362887 1.30031082271189, 103.808627439176 1.3000848585916, 103.808857110801 1.29981132578498, 103.80890687303 1.29972656920811, 103.808929840538 1.29965336924653, 103.80894132468 1.29957631748376, 103.808948980984 1.29950311827741, 103.808946300321 1.29944103723052, 103.808934289159 1.29938024481264, 103.8087051108951 1.298657512815767))"
8427,"POLYGON ((103.7591821694761 1.29913875720853, 103.7601505633445 1.298579654747913, 103.7601505633445 1.297461449826679, 103.7601066148807 1.297436076169287, 103.759537417286 1.29801319792861, 103.759298065237 1.29853190155393, 103.759037488503 1.29883785920958, 103.7589078978659 1.298980406420531, 103.7591821694761 1.29913875720853))"
8428,"POLYGON ((103.7611189572129 1.29913875720853, 103.7620873510813 1.298579654747913, 103.7620873510813 1.297461449826679, 103.7611189572129 1.296902347366063, 103.7601505633445 1.297461449826679, 103.7601505633445 1.298579654747913, 103.7611189572129 1.29913875720853))"
8429,"POLYGON ((103.7630557449498 1.29913875720853, 103.7634586198193 1.298906157294146, 103.763677048232 1.29843526525869, 103.7640241388182 1.297680865463408, 103.7640241388182 1.297461449826679, 103.7630557449498 1.296902347366063, 103.7620873510814 1.297461449826679, 103.7620873510814 1.298579654747913, 103.7630557449498 1.29913875720853))"
8430,"POLYGON ((103.7641616047863 1.297382083813007, 103.7640241388182 1.297461449826679, 103.7640241388182 1.297680865463377, 103.7641616047863 1.297382083813007))"
8431,"POLYGON ((103.7697822381539 1.29860982931012, 103.7698345020288 1.298579654747913, 103.7698345020288 1.297461449826679, 103.7696449833821 1.297352031185017, 103.769652703736 1.29753085248367, 103.769669654799 1.29767306328828, 103.769680957742 1.29773848076312, 103.769717691384 1.29783518626756, 103.769760076277 1.29799161793877, 103.76977137804 1.2980684114112, 103.769779850996 1.29822484493714, 103.7697822381539 1.29860982931012))"
8432,"POLYGON ((103.7708028958972 1.29913875720853, 103.7717712897656 1.298579654747913, 103.7717712897656 1.297461449826679, 103.7708028958972 1.296902347366063, 103.7698345020288 1.297461449826679, 103.7698345020288 1.298579654747913, 103.7708028958972 1.29913875720853))"
8433,"POLYGON ((103.772739683634 1.29913875720853, 103.7737080775025 1.298579654747913, 103.7737080775025 1.297461449826679, 103.772739683634 1.296902347366063, 103.7717712897656 1.297461449826679, 103.7717712897656 1.298579654747913, 103.772739683634 1.29913875720853))"
8434,"POLYGON ((103.7746764713709 1.29913875720853, 103.7756448652393 1.298579654747913, 103.7756448652393 1.297461449826679, 103.7746764713709 1.296902347366063, 103.7737080775025 1.297461449826679, 103.7737080775025 1.298579654747913, 103.7746764713709 1.29913875720853))"
8435,"POLYGON ((103.7766132591077 1.29913875720853, 103.7775816529762 1.298579654747913, 103.7775816529762 1.297461449826679, 103.7766132591077 1.296902347366063, 103.7756448652393 1.297461449826679, 103.7756448652393 1.298579654747913, 103.7766132591077 1.29913875720853))"
8436,"POLYGON ((103.7785500468446 1.29913875720853, 103.779518440713 1.298579654747913, 103.779518440713 1.297461449826679, 103.7785500468446 1.296902347366063, 103.7775816529762 1.297461449826679, 103.7775816529762 1.298579654747913, 103.7785500468446 1.29913875720853))"
8437,"POLYGON ((103.7804868345815 1.29913875720853, 103.7814552284499 1.298579654747913, 103.7814552284499 1.297461449826679, 103.7804868345815 1.296902347366063, 103.779518440713 1.297461449826679, 103.779518440713 1.298579654747913, 103.7804868345815 1.29913875720853))"
8438,"POLYGON ((103.7824236223183 1.29913875720853, 103.7833920161867 1.298579654747913, 103.7833920161867 1.297461449826679, 103.7824236223183 1.296902347366063, 103.7814552284499 1.297461449826679, 103.7814552284499 1.298579654747913, 103.7824236223183 1.29913875720853))"
8439,"POLYGON ((103.7843604100552 1.29913875720853, 103.7853288039236 1.298579654747913, 103.7853288039236 1.297461449826679, 103.7843604100552 1.296902347366063, 103.7833920161867 1.297461449826679, 103.7833920161867 1.298579654747913, 103.7843604100552 1.29913875720853))"
8440,"POLYGON ((103.786297197792 1.29913875720853, 103.7872655916604 1.298579654747913, 103.7872655916604 1.297461449826679, 103.786297197792 1.296902347366063, 103.7853288039236 1.297461449826679, 103.7853288039236 1.298579654747913, 103.786297197792 1.29913875720853))"
8441,"POLYGON ((103.7882339855289 1.29913875720853, 103.7892023793973 1.298579654747913, 103.7892023793973 1.297461449826679, 103.7882339855289 1.296902347366063, 103.7872655916604 1.297461449826679, 103.7872655916604 1.298579654747913, 103.7882339855289 1.29913875720853))"
8442,"POLYGON ((103.7901707732657 1.29913875720853, 103.7911391671341 1.298579654747913, 103.7911391671341 1.297461449826679, 103.7901707732657 1.296902347366063, 103.7892023793973 1.297461449826679, 103.7892023793973 1.298579654747913, 103.7901707732657 1.29913875720853))"
8443,"POLYGON ((103.7921075610026 1.29913875720853, 103.793075954871 1.298579654747913, 103.793075954871 1.297461449826679, 103.7921075610026 1.296902347366063, 103.7911391671341 1.297461449826679, 103.7911391671341 1.298579654747913, 103.7921075610026 1.29913875720853))"
8444,"POLYGON ((103.7940443487394 1.29913875720853, 103.7950127426078 1.298579654747913, 103.7950127426078 1.297461449826679, 103.7940443487394 1.296902347366063, 103.793075954871 1.297461449826679, 103.793075954871 1.298579654747913, 103.7940443487394 1.29913875720853))"
8445,"POLYGON ((103.7959811364763 1.29913875720853, 103.7969495303447 1.298579654747913, 103.7969495303447 1.297461449826679, 103.7959811364763 1.296902347366063, 103.7950127426079 1.297461449826679, 103.7950127426079 1.298579654747913, 103.7959811364763 1.29913875720853))"
8446,"POLYGON ((103.7979179242131 1.29913875720853, 103.7988863180815 1.298579654747913, 103.7988863180815 1.297461449826679, 103.7979179242131 1.296902347366063, 103.7969495303447 1.297461449826679, 103.7969495303447 1.298579654747913, 103.7979179242131 1.29913875720853))"
8447,"POLYGON ((103.79985471195 1.29913875720853, 103.8008231058184 1.298579654747913, 103.8008231058184 1.297461449826679, 103.79985471195 1.296902347366063, 103.7988863180816 1.297461449826679, 103.7988863180816 1.298579654747913, 103.79985471195 1.29913875720853))"
8448,"POLYGON ((103.8017914996868 1.29913875720853, 103.8027598935552 1.298579654747913, 103.8027598935552 1.297461449826679, 103.8017914996868 1.296902347366063, 103.8008231058184 1.297461449826679, 103.8008231058184 1.298579654747913, 103.8017914996868 1.29913875720853))"
8449,"POLYGON ((103.8037282874237 1.29913875720853, 103.8046966812921 1.298579654747913, 103.8046966812921 1.297461449826679, 103.8037282874237 1.296902347366063, 103.8027598935553 1.297461449826679, 103.8027598935553 1.298579654747913, 103.8037282874237 1.29913875720853))"
8450,"POLYGON ((103.8056650751605 1.29913875720853, 103.806633469029 1.298579654747913, 103.806633469029 1.297461449826679, 103.8056650751605 1.296902347366063, 103.8046966812921 1.297461449826679, 103.8046966812921 1.298579654747913, 103.8056650751605 1.29913875720853))"
8451,"POLYGON ((103.8076018628974 1.29913875720853, 103.8085702567658 1.298579654747913, 103.8085702567658 1.297461449826679, 103.8076018628974 1.296902347366063, 103.806633469029 1.297461449826679, 103.806633469029 1.298579654747913, 103.8076018628974 1.29913875720853))"
8452,"POLYGON ((103.8099446136122 1.29713673020065, 103.8095386506342 1.296902347366063, 103.8085702567658 1.297461449826679, 103.8085702567658 1.298579654747913, 103.8087051108951 1.298657512815767, 103.80861182572 1.29836333055019, 103.80877801654 1.29830645306459, 103.80897536269 1.29823796382689, 103.809097002739 1.29818418966733, 103.809206733692 1.29810783340001, 103.809322420567 1.29799140026129, 103.8094108861 1.29786811810384, 103.809526572569 1.29769689130422, 103.809628649546 1.29753936368759, 103.809737531375 1.29736128896326, 103.809832802375 1.29724485470328, 103.809909465989 1.29716421864031, 103.8099446136122 1.29713673020065))"
8453,"POLYGON ((103.7601505633445 1.297461449826679, 103.7611189572129 1.296902347366063, 103.7611189572129 1.296428199643132, 103.760967126541 1.29659952760174, 103.7607876289 1.2967952313446, 103.760518385026 1.29704362344101, 103.760189308965 1.29735223084765, 103.7601066148807 1.297436076169282, 103.7601505633445 1.297461449826679))"
8454,"POLYGON ((103.7620873510814 1.297461449826679, 103.7630557449498 1.296902347366063, 103.7630557449498 1.295784142444829, 103.7621349185649 1.29525250308363, 103.762133857268 1.2952672362821, 103.762124362079 1.29540634620905, 103.762111414411 1.29552316255787, 103.762096454058 1.29560596209709, 103.762059057778 1.29569628802367, 103.76199922467 1.29579414033644, 103.761887040599 1.29586188307161, 103.76170839657 1.2959021249113, 103.76153553396 1.29596725409905, 103.761415868912 1.29608768756501, 103.761213934557 1.2963210258141, 103.7611189572129 1.296428199643116, 103.7611189572129 1.296902347366063, 103.7620873510814 1.297461449826679))"
8455,"POLYGON ((103.7640241388182 1.297461449826679, 103.7641616047863 1.297382083813007, 103.764804785749 1.29598413294401, 103.76489494456 1.29578660598088, 103.7649161902092 1.295740066094923, 103.7640241388182 1.295225039984212, 103.7630557449498 1.295784142444829, 103.7630557449498 1.296902347366063, 103.7640241388182 1.297461449826679))"
8456,"POLYGON ((103.7698345020288 1.297461449826679, 103.7708028958972 1.296902347366063, 103.7708028958972 1.295784142444829, 103.7698345020288 1.295225039984212, 103.7696118832148 1.295353569016354, 103.76962096332 1.29542059996246, 103.76962661326 1.29549644551955, 103.769626610608 1.29560262964181, 103.769622840839 1.29568985186297, 103.769618382286 1.29576109666304, 103.769615367368 1.29580928834998, 103.769586589839 1.2960206809606, 103.769577956045 1.29611624129665, 103.769583708142 1.29620311829134, 103.769612475324 1.29640582413103, 103.769621103979 1.29651586468031, 103.769626855427 1.29662880183539, 103.769623975974 1.29672146925555, 103.76961534225 1.29681413381678, 103.76961246229 1.29692706984859, 103.769644230885 1.2973346016073, 103.7696449833821 1.297352031185009, 103.7698345020288 1.297461449826679))"
8457,"POLYGON ((103.7717712897656 1.297461449826679, 103.772739683634 1.296902347366063, 103.772739683634 1.295784142444829, 103.7717712897656 1.295225039984212, 103.7708028958972 1.295784142444829, 103.7708028958972 1.296902347366063, 103.7717712897656 1.297461449826679))"
8458,"POLYGON ((103.7737080775025 1.297461449826679, 103.7746764713709 1.296902347366063, 103.7746764713709 1.295784142444829, 103.7737080775025 1.295225039984212, 103.7727396836341 1.295784142444829, 103.7727396836341 1.296902347366063, 103.7737080775025 1.297461449826679))"
8459,"POLYGON ((103.7756448652393 1.297461449826679, 103.7766132591077 1.296902347366063, 103.7766132591077 1.295784142444829, 103.7756448652393 1.295225039984212, 103.7746764713709 1.295784142444829, 103.7746764713709 1.296902347366063, 103.7756448652393 1.297461449826679))"
8460,"POLYGON ((103.7775816529762 1.297461449826679, 103.7785500468446 1.296902347366063, 103.7785500468446 1.295784142444829, 103.7775816529762 1.295225039984212, 103.7766132591078 1.295784142444829, 103.7766132591078 1.296902347366063, 103.7775816529762 1.297461449826679))"
8461,"POLYGON ((103.779518440713 1.297461449826679, 103.7804868345815 1.296902347366063, 103.7804868345815 1.295784142444829, 103.779518440713 1.295225039984212, 103.7785500468446 1.295784142444829, 103.7785500468446 1.296902347366063, 103.779518440713 1.297461449826679))"
8462,"POLYGON ((103.7814552284499 1.297461449826679, 103.7824236223183 1.296902347366063, 103.7824236223183 1.295784142444829, 103.7814552284499 1.295225039984212, 103.7804868345815 1.295784142444829, 103.7804868345815 1.296902347366063, 103.7814552284499 1.297461449826679))"
8463,"POLYGON ((103.7833920161867 1.297461449826679, 103.7843604100552 1.296902347366063, 103.7843604100552 1.295784142444829, 103.7833920161867 1.295225039984212, 103.7824236223183 1.295784142444829, 103.7824236223183 1.296902347366063, 103.7833920161867 1.297461449826679))"
8464,"POLYGON ((103.7853288039236 1.297461449826679, 103.786297197792 1.296902347366063, 103.786297197792 1.295784142444829, 103.7853288039236 1.295225039984212, 103.7843604100552 1.295784142444829, 103.7843604100552 1.296902347366063, 103.7853288039236 1.297461449826679))"
8465,"POLYGON ((103.7872655916604 1.297461449826679, 103.7882339855289 1.296902347366063, 103.7882339855289 1.295784142444829, 103.7872655916604 1.295225039984212, 103.786297197792 1.295784142444829, 103.786297197792 1.296902347366063, 103.7872655916604 1.297461449826679))"
8466,"POLYGON ((103.7892023793973 1.297461449826679, 103.7901707732657 1.296902347366063, 103.7901707732657 1.295784142444829, 103.7892023793973 1.295225039984212, 103.7882339855289 1.295784142444829, 103.7882339855289 1.296902347366063, 103.7892023793973 1.297461449826679))"
8467,"POLYGON ((103.7911391671341 1.297461449826679, 103.7921075610026 1.296902347366063, 103.7921075610026 1.295784142444829, 103.7911391671341 1.295225039984212, 103.7901707732657 1.295784142444829, 103.7901707732657 1.296902347366063, 103.7911391671341 1.297461449826679))"
8468,"POLYGON ((103.793075954871 1.297461449826679, 103.7940443487394 1.296902347366063, 103.7940443487394 1.295784142444829, 103.793075954871 1.295225039984212, 103.7921075610026 1.295784142444829, 103.7921075610026 1.296902347366063, 103.793075954871 1.297461449826679))"
8469,"POLYGON ((103.7950127426079 1.297461449826679, 103.7959811364763 1.296902347366063, 103.7959811364763 1.295784142444829, 103.7950127426079 1.295225039984212, 103.7940443487394 1.295784142444829, 103.7940443487394 1.296902347366063, 103.7950127426079 1.297461449826679))"
8470,"POLYGON ((103.7969495303447 1.297461449826679, 103.7979179242131 1.296902347366063, 103.7979179242131 1.295784142444829, 103.7969495303447 1.295225039984212, 103.7959811364763 1.295784142444829, 103.7959811364763 1.296902347366063, 103.7969495303447 1.297461449826679))"
8471,"POLYGON ((103.7988863180816 1.297461449826679, 103.79985471195 1.296902347366063, 103.79985471195 1.295784142444829, 103.7988863180816 1.295225039984212, 103.7979179242131 1.295784142444829, 103.7979179242131 1.296902347366063, 103.7988863180816 1.297461449826679))"
8472,"POLYGON ((103.8008231058184 1.297461449826679, 103.8017914996868 1.296902347366063, 103.8017914996868 1.295784142444829, 103.8008231058184 1.295225039984212, 103.79985471195 1.295784142444829, 103.79985471195 1.296902347366063, 103.8008231058184 1.297461449826679))"
8473,"POLYGON ((103.8027598935553 1.297461449826679, 103.8037282874237 1.296902347366063, 103.8037282874237 1.295784142444829, 103.8027598935553 1.295225039984212, 103.8017914996868 1.295784142444829, 103.8017914996868 1.296902347366063, 103.8027598935553 1.297461449826679))"
8474,"POLYGON ((103.8046966812921 1.297461449826679, 103.8056650751605 1.296902347366063, 103.8056650751605 1.295784142444829, 103.8046966812921 1.295225039984212, 103.8037282874237 1.295784142444829, 103.8037282874237 1.296902347366063, 103.8046966812921 1.297461449826679))"
8475,"POLYGON ((103.806633469029 1.297461449826679, 103.8076018628974 1.296902347366063, 103.8076018628974 1.295784142444829, 103.806633469029 1.295225039984212, 103.8056650751605 1.295784142444829, 103.8056650751605 1.296902347366063, 103.806633469029 1.297461449826679))"
8476,"POLYGON ((103.8085702567658 1.297461449826679, 103.8095386506342 1.296902347366063, 103.8095386506342 1.295784142444829, 103.8085702567658 1.295225039984212, 103.8076018628974 1.295784142444829, 103.8076018628974 1.296902347366063, 103.8085702567658 1.297461449826679))"
8477,"POLYGON ((103.8114754383711 1.296732669806781, 103.8114754383711 1.295784142444829, 103.8105070445027 1.295225039984212, 103.8095386506343 1.295784142444829, 103.8095386506343 1.296902347366063, 103.8099446136122 1.297136730200646, 103.810016538149 1.29708047907717, 103.810166249914 1.29698459337947, 103.810311387967 1.29690128191824, 103.810489382038 1.29683193594753, 103.810621442257 1.29679437435336, 103.810750630534 1.29677848311465, 103.81086163767 1.29676307463771, 103.811221161456 1.29673581393943, 103.8114754383711 1.296732669806781))"
8478,"POLYGON ((103.8134122261079 1.296716665597035, 103.8134122261079 1.295784142444829, 103.8124438322395 1.295225039984212, 103.8114754383711 1.295784142444829, 103.8114754383711 1.29673266980678, 103.813024931702 1.29671351033031, 103.8134122261079 1.296716665597035))"
8479,"POLYGON ((103.8153490138448 1.296739747329284, 103.8153490138448 1.295784142444829, 103.8143806199764 1.295225039984212, 103.813412226108 1.295784142444829, 103.813412226108 1.296716665597036, 103.814826276499 1.29672818578963, 103.8153490138448 1.296739747329284))"
8480,"POLYGON ((103.8162506445478 1.295263585715768, 103.8153490138448 1.295784142444829, 103.8153490138448 1.296739747329285, 103.816598169603 1.29676737528422, 103.8162506445478 1.295263585715768))"
8481,"POLYGON ((103.7620873510813 1.295149571266906, 103.7620873510813 1.294810686271094, 103.762034137423 1.29480211536915, 103.76191108755 1.29492595550801, 103.761976226419 1.2950570847272, 103.762063079594 1.29515179129406, 103.7620873510813 1.295149571266906))"
8482,"POLYGON ((103.7630557449498 1.295784142444829, 103.7640241388182 1.295225039984212, 103.7640241388182 1.294106835062979, 103.7630557449498 1.293547732602362, 103.7625212093607 1.293856346868638, 103.762757953274 1.29420477428813, 103.762965807075 1.29438937348543, 103.762999034371 1.29451622143409, 103.762982319817 1.29464187422769, 103.762917175076 1.29472200630685, 103.762902695536 1.29486770439334, 103.762801358469 1.29504253866172, 103.762678309829 1.29512266911137, 103.76254802423 1.29517365983409, 103.762424979107 1.29515908616214, 103.762215085995 1.29483126000073, 103.7620873510814 1.294810686271097, 103.7620873510814 1.295149571266905, 103.76214269786 1.2951445088927, 103.7621349185649 1.29525250308363, 103.7630557449498 1.295784142444829))"
8483,"POLYGON ((103.7657293949257 1.293973160214433, 103.7649925326866 1.293547732602362, 103.7640241388182 1.294106835062979, 103.7640241388182 1.295225039984212, 103.7649161902092 1.295740066094922, 103.765070328849 1.29540241603507, 103.765323093766 1.29485001823141, 103.7657293949257 1.293973160214433))"
8484,"POLYGON ((103.7696118832148 1.295353569016346, 103.7698345020288 1.295225039984212, 103.7698345020288 1.294106835062979, 103.7688675847598 1.293548585117444, 103.768892744384 1.29358121032327, 103.768990965108 1.29371674538344, 103.7691022466 1.2938702957093, 103.769159313851 1.2939802687629, 103.76922061113 1.29410276646381, 103.76927078227 1.29420507394817, 103.769277697092 1.29421943452425, 103.769317234365 1.29430669402034, 103.769349207104 1.29438222191043, 103.769366809354 1.29442595650932, 103.769369731218 1.29443377843011, 103.769374847484 1.29443517218531, 103.769423147535 1.29455092661193, 103.769446147297 1.29463195461687, 103.769469146886 1.2947199272349, 103.769487546345 1.29479169443269, 103.769502289879 1.29485365008972, 103.769545615608 1.29504136917541, 103.769582122125 1.29520021535398, 103.769584808522 1.29521003862672, 103.76958537809 1.29521438139838, 103.769604010943 1.29529545450968, 103.7696118832148 1.295353569016346))"
8485,"POLYGON ((103.7708028958972 1.295784142444829, 103.7717712897656 1.295225039984212, 103.7717712897656 1.294106835062979, 103.7708028958972 1.293547732602362, 103.7698345020288 1.294106835062979, 103.7698345020288 1.295225039984212, 103.7708028958972 1.295784142444829))"
8486,"POLYGON ((103.772739683634 1.295784142444829, 103.7737080775025 1.295225039984212, 103.7737080775025 1.294106835062979, 103.772739683634 1.293547732602362, 103.7717712897656 1.294106835062979, 103.7717712897656 1.295225039984212, 103.772739683634 1.295784142444829))"
8487,"POLYGON ((103.7746764713709 1.295784142444829, 103.7756448652393 1.295225039984212, 103.7756448652393 1.294106835062979, 103.7746764713709 1.293547732602362, 103.7737080775025 1.294106835062979, 103.7737080775025 1.295225039984212, 103.7746764713709 1.295784142444829))"
8488,"POLYGON ((103.7766132591077 1.295784142444829, 103.7775816529762 1.295225039984212, 103.7775816529762 1.294106835062979, 103.7766132591077 1.293547732602362, 103.7756448652393 1.294106835062979, 103.7756448652393 1.295225039984212, 103.7766132591077 1.295784142444829))"
8489,"POLYGON ((103.7785500468446 1.295784142444829, 103.779518440713 1.295225039984212, 103.779518440713 1.294106835062979, 103.7785500468446 1.293547732602362, 103.7775816529762 1.294106835062979, 103.7775816529762 1.295225039984212, 103.7785500468446 1.295784142444829))"
8490,"POLYGON ((103.7804868345815 1.295784142444829, 103.7814552284499 1.295225039984212, 103.7814552284499 1.294106835062979, 103.7804868345815 1.293547732602362, 103.779518440713 1.294106835062979, 103.779518440713 1.295225039984212, 103.7804868345815 1.295784142444829))"
8491,"POLYGON ((103.7824236223183 1.295784142444829, 103.7833920161867 1.295225039984212, 103.7833920161867 1.294106835062979, 103.7824236223183 1.293547732602362, 103.7814552284499 1.294106835062979, 103.7814552284499 1.295225039984212, 103.7824236223183 1.295784142444829))"
8492,"POLYGON ((103.7843604100552 1.295784142444829, 103.7853288039236 1.295225039984212, 103.7853288039236 1.294106835062979, 103.7843604100552 1.293547732602362, 103.7833920161867 1.294106835062979, 103.7833920161867 1.295225039984212, 103.7843604100552 1.295784142444829))"
8493,"POLYGON ((103.786297197792 1.295784142444829, 103.7872655916604 1.295225039984212, 103.7872655916604 1.294106835062979, 103.786297197792 1.293547732602362, 103.7853288039236 1.294106835062979, 103.7853288039236 1.295225039984212, 103.786297197792 1.295784142444829))"
8494,"POLYGON ((103.7882339855289 1.295784142444829, 103.7892023793973 1.295225039984212, 103.7892023793973 1.294106835062979, 103.7882339855289 1.293547732602362, 103.7872655916604 1.294106835062979, 103.7872655916604 1.295225039984212, 103.7882339855289 1.295784142444829))"
8495,"POLYGON ((103.7901707732657 1.295784142444829, 103.7911391671341 1.295225039984212, 103.7911391671341 1.294106835062979, 103.7901707732657 1.293547732602362, 103.7892023793973 1.294106835062979, 103.7892023793973 1.295225039984212, 103.7901707732657 1.295784142444829))"
8496,"POLYGON ((103.7921075610026 1.295784142444829, 103.793075954871 1.295225039984212, 103.793075954871 1.294106835062979, 103.7921075610026 1.293547732602362, 103.7911391671341 1.294106835062979, 103.7911391671341 1.295225039984212, 103.7921075610026 1.295784142444829))"
8497,"POLYGON ((103.7940443487394 1.295784142444829, 103.7950127426078 1.295225039984212, 103.7950127426078 1.294106835062979, 103.7940443487394 1.293547732602362, 103.793075954871 1.294106835062979, 103.793075954871 1.295225039984212, 103.7940443487394 1.295784142444829))"
8498,"POLYGON ((103.7959811364763 1.295784142444829, 103.7969495303447 1.295225039984212, 103.7969495303447 1.294106835062979, 103.7959811364763 1.293547732602362, 103.7950127426079 1.294106835062979, 103.7950127426079 1.295225039984212, 103.7959811364763 1.295784142444829))"
8499,"POLYGON ((103.7979179242131 1.295784142444829, 103.7988863180815 1.295225039984212, 103.7988863180815 1.294106835062979, 103.7979179242131 1.293547732602362, 103.7969495303447 1.294106835062979, 103.7969495303447 1.295225039984212, 103.7979179242131 1.295784142444829))"
8500,"POLYGON ((103.79985471195 1.295784142444829, 103.8008231058184 1.295225039984212, 103.8008231058184 1.294106835062979, 103.79985471195 1.293547732602362, 103.7988863180816 1.294106835062979, 103.7988863180816 1.295225039984212, 103.79985471195 1.295784142444829))"
8501,"POLYGON ((103.8017914996868 1.295784142444829, 103.8027598935552 1.295225039984212, 103.8027598935552 1.294106835062979, 103.8017914996868 1.293547732602362, 103.8008231058184 1.294106835062979, 103.8008231058184 1.295225039984212, 103.8017914996868 1.295784142444829))"
8502,"POLYGON ((103.8037282874237 1.295784142444829, 103.8046966812921 1.295225039984212, 103.8046966812921 1.294106835062979, 103.8037282874237 1.293547732602362, 103.8027598935553 1.294106835062979, 103.8027598935553 1.295225039984212, 103.8037282874237 1.295784142444829))"
8503,"POLYGON ((103.8056650751605 1.295784142444829, 103.806633469029 1.295225039984212, 103.806633469029 1.294106835062979, 103.8056650751605 1.293547732602362, 103.8046966812921 1.294106835062979, 103.8046966812921 1.295225039984212, 103.8056650751605 1.295784142444829))"
