,geometry
60,"POLYGON ((103.8008231058184 1.465192188011702, 103.8017914996868 1.464633085551086, 103.8017914996868 1.463514880629852, 103.8008231058184 1.462955778169235, 103.79985471195 1.463514880629852, 103.79985471195 1.464633085551086, 103.8008231058184 1.465192188011702))"
61,"POLYGON ((103.8027598935553 1.465192188011702, 103.8037282874237 1.464633085551086, 103.8037282874237 1.463514880629852, 103.8027598935553 1.462955778169235, 103.8017914996868 1.463514880629852, 103.8017914996868 1.464633085551086, 103.8027598935553 1.465192188011702))"
62,"POLYGON ((103.8046966812921 1.465192188011702, 103.8056650751605 1.464633085551086, 103.8056650751605 1.463514880629852, 103.8046966812921 1.462955778169235, 103.8037282874237 1.463514880629852, 103.8037282874237 1.464633085551086, 103.8046966812921 1.465192188011702))"
63,"POLYGON ((103.806633469029 1.465192188011702, 103.8076018628974 1.464633085551086, 103.8076018628974 1.463514880629852, 103.806633469029 1.462955778169235, 103.8056650751605 1.463514880629852, 103.8056650751605 1.464633085551086, 103.806633469029 1.465192188011702))"
64,"POLYGON ((103.8085702567658 1.465192188011702, 103.8095386506342 1.464633085551086, 103.8095386506342 1.463514880629852, 103.8085702567658 1.462955778169235, 103.8076018628974 1.463514880629852, 103.8076018628974 1.464633085551086, 103.8085702567658 1.465192188011702))"
65,"POLYGON ((103.8105070445027 1.465192188011702, 103.8114754383711 1.464633085551086, 103.8114754383711 1.463514880629852, 103.8105070445027 1.462955778169235, 103.8095386506343 1.463514880629852, 103.8095386506343 1.464633085551086, 103.8105070445027 1.465192188011702))"
66,"POLYGON ((103.8124438322395 1.465192188011702, 103.8134122261079 1.464633085551086, 103.8134122261079 1.463514880629852, 103.8124438322395 1.462955778169235, 103.8114754383711 1.463514880629852, 103.8114754383711 1.464633085551086, 103.8124438322395 1.465192188011702))"
67,"POLYGON ((103.8143806199764 1.465192188011702, 103.8153490138448 1.464633085551086, 103.8153490138448 1.463514880629852, 103.8143806199764 1.462955778169235, 103.813412226108 1.463514880629852, 103.813412226108 1.464633085551086, 103.8143806199764 1.465192188011702))"
68,"POLYGON ((103.8163174077132 1.465192188011702, 103.8172858015816 1.464633085551086, 103.8172858015816 1.463514880629852, 103.8163174077132 1.462955778169235, 103.8153490138448 1.463514880629852, 103.8153490138448 1.464633085551086, 103.8163174077132 1.465192188011702))"
69,"POLYGON ((103.8182541954501 1.465192188011702, 103.8185194517726 1.465039042202508, 103.81821980027 1.46455237010484, 103.818191270402 1.46441837308236, 103.818257843555 1.46430351936749, 103.818519377239 1.46409295454669, 103.818757134986 1.46396853016423, 103.818890278709 1.46398767369382, 103.819056707056 1.46411210071694, 103.8192225893185 1.464280668399076, 103.8192225893185 1.463514880629852, 103.8182541954501 1.462955778169235, 103.8172858015817 1.463514880629852, 103.8172858015817 1.464633085551086, 103.8182541954501 1.465192188011702))"
70,"POLYGON ((103.8201909831869 1.465192188011702, 103.8211593770554 1.464633085551086, 103.8211593770554 1.463514880629852, 103.8201909831869 1.462955778169235, 103.8192225893185 1.463514880629852, 103.8192225893185 1.464280668399091, 103.819546483289 1.46460980579475, 103.819508442183 1.46467201853407, 103.8196767399729 1.464895289553681, 103.8201909831869 1.465192188011702))"
71,"POLYGON ((103.8221277709238 1.465192188011702, 103.8230961647922 1.464633085551086, 103.8230961647922 1.463514880629852, 103.8221277709238 1.462955778169235, 103.8211593770554 1.463514880629852, 103.8211593770554 1.464633085551086, 103.8221277709238 1.465192188011702))"
72,"MULTIPOLYGON (((103.8250329525291 1.464152606281211, 103.8250329525291 1.463514880629852, 103.8240645586606 1.462955778169235, 103.8237512653982 1.463136658118661, 103.824010849048 1.46360733926056, 103.824555651978 1.4633027355528, 103.8250329525291 1.464152606281211)), ((103.8234279929008 1.463323299582058, 103.8230961647922 1.463514880629852, 103.8230961647922 1.464633085551086, 103.8240134672136 1.465162690350999, 103.823335843843 1.46398474080464, 103.82369201462 1.46378560242756, 103.8234279929008 1.463323299582058)))"
73,"POLYGON ((103.8260013463975 1.465192188011702, 103.8269697402659 1.464633085551086, 103.8269697402659 1.463514880629852, 103.8260013463975 1.462955778169235, 103.8250329525291 1.463514880629852, 103.8250329525291 1.464152606281236, 103.8254322779171 1.464863636171335, 103.8260013463975 1.465192188011702))"
74,"POLYGON ((103.8279381341343 1.465192188011702, 103.8289065280028 1.464633085551086, 103.8289065280028 1.463514880629852, 103.8279381341343 1.462955778169235, 103.8269697402659 1.463514880629852, 103.8269697402659 1.464633085551086, 103.8279381341343 1.465192188011702))"
75,"POLYGON ((103.8298749218712 1.465192188011702, 103.8308433157396 1.464633085551086, 103.8308433157396 1.463514880629852, 103.8298749218712 1.462955778169235, 103.8289065280028 1.463514880629852, 103.8289065280028 1.464633085551086, 103.8298749218712 1.465192188011702))"
76,"POLYGON ((103.831811709608 1.465192188011702, 103.8327801034765 1.464633085551086, 103.8327801034765 1.463514880629852, 103.831811709608 1.462955778169235, 103.8308433157396 1.463514880629852, 103.8308433157396 1.464633085551086, 103.831811709608 1.465192188011702))"
77,"POLYGON ((103.8334336603588 1.463137549387941, 103.8327801034765 1.463514880629852, 103.8327801034765 1.464633085551086, 103.8335583420993 1.46508240182947, 103.83429385606 1.46466420231341, 103.8334336603588 1.463137549387941))"
78,"POLYGON ((103.8366536789502 1.464129616444973, 103.8366536789502 1.463514880629852, 103.8356852850818 1.462955778169235, 103.8348539923756 1.463435725236904, 103.835252555063 1.4641349383028, 103.835789764756 1.46426410530761, 103.836205381944 1.464172253127, 103.8366536789502 1.464129616444973))"
79,"POLYGON ((103.8383245358404 1.463361345383941, 103.8376220728186 1.462955778169235, 103.8366536789502 1.463514880629852, 103.8366536789502 1.464129616444972, 103.83713180039 1.46408414321736, 103.837649391908 1.46380300277897, 103.8383245358404 1.463361345383941))"
80,"POLYGON ((103.793075954871 1.462840394774762, 103.793075954871 1.461837573248002, 103.7922379801815 1.461353768335462, 103.79179164934 1.46204459808843, 103.791788193216 1.46204934954899, 103.791884134493 1.46205753763013, 103.792247283967 1.46227888274987, 103.79248979306 1.46244638343112, 103.793075954871 1.462840394774762))"
81,"POLYGON ((103.7940551074391 1.463508669091717, 103.7950127426078 1.462955778169235, 103.7950127426078 1.461837573248002, 103.7940443487394 1.461278470787385, 103.793075954871 1.461837573248002, 103.793075954871 1.462840394774772, 103.793792683364 1.4633221715662, 103.7940551074391 1.463508669091717))"
82,"POLYGON ((103.7959811364763 1.463514880629852, 103.7969495303447 1.462955778169235, 103.7969495303447 1.461837573248002, 103.7959811364763 1.461278470787385, 103.7950127426079 1.461837573248002, 103.7950127426079 1.462955778169235, 103.7959811364763 1.463514880629852))"
83,"POLYGON ((103.7979179242131 1.463514880629852, 103.7988863180815 1.462955778169235, 103.7988863180815 1.461837573248002, 103.7979179242131 1.461278470787385, 103.7969495303447 1.461837573248002, 103.7969495303447 1.462955778169235, 103.7979179242131 1.463514880629852))"
84,"POLYGON ((103.79985471195 1.463514880629852, 103.8008231058184 1.462955778169235, 103.8008231058184 1.461837573248002, 103.79985471195 1.461278470787385, 103.7988863180816 1.461837573248002, 103.7988863180816 1.462955778169235, 103.79985471195 1.463514880629852))"
