address,latitude,longitude
32 TELOK BLANGAH RISE,1.273131053,103.8216629
33 TELOK BLANGAH WAY,1.2743619640000001,103.822184
142 JLN BT MERAH,1.277008235,103.8280562
131 JLN BT MERAH,1.280189419,103.82817840000001
30 JLN KLINIK,1.287669769,103.82820290000001
63 TELOK BLANGAH HTS,1.274831282,103.8109414
61 TELOK BLANGAH HTS,1.2757050079999999,103.8120071
116 BT MERAH VIEW,1.285134271,103.82153220000001
44 TELOK BLANGAH DR,1.271408833,103.8108875
24 BEO CRES,1.288525352,103.82845859999999
78 INDUS RD,1.291297828,103.8281531
55 TELOK BLANGAH DR,1.27396036,103.8121495
130 BT MERAH VIEW,1.284587128,103.8243603
122 BT MERAH LANE 1,1.2864588190000001,103.8042002
80C TELOK BLANGAH ST 31,1.273494356,103.80722940000001
50 MOH GUAN TER,1.28407985,103.83052550000001
47 MOH GUAN TER,1.2842058170000001,103.8310634
54 HAVELOCK RD,1.2896255490000001,103.8291739
101 HENDERSON CRES,1.2907179979999999,103.8216252
23 TELOK BLANGAH CRES,1.276080724,103.8208395
106 HENDERSON CRES,1.289426079,103.8222768
115 BT PURMEI RD,1.275352014,103.8269502
108 BT PURMEI RD,1.273357314,103.8253458
129 KIM TIAN RD,1.2811530309999999,103.8288562
106B DEPOT RD,1.280649504,103.8107509
38 JLN RUMAH TINGGI,1.288633659,103.8096439
3 DELTA AVE,1.291698335,103.82733449999999
134 JLN BT MERAH,1.279256199,103.82720929999999
80A TELOK BLANGAH ST 31,1.27368174,103.80657940000002
27A JLN MEMBINA,1.282218691,103.8245363
75A REDHILL RD,1.288053157,103.81527709999999
77A REDHILL RD,1.288381067,103.8173911
57 HAVELOCK RD,1.290138585,103.82845329999999
48 LENGKOK BAHRU,1.287277396,103.8109636
35 JLN RUMAH TINGGI,1.287693947,103.8089335
46 LENGKOK BAHRU,1.287077496,103.81270579999999
67 TELOK BLANGAH DR,1.274636589,103.8096328
87 ZION RD,1.2906598059999999,103.8326083
1 DELTA AVE,1.292075251,103.82858409999999
214 PETIR RD,1.3749411009999999,103.7748564
123 PENDING RD,1.377566635,103.77066059999999
249 BANGKIT RD,1.381002047,103.77405470000001
458 SEGAR RD,1.388043942,103.7710676
506 JELAPANG RD,1.387033455,103.76812070000001
621 SENJA RD,1.3860210609999999,103.7628543
402 FAJAR RD,1.3803122630000002,103.7680736
419 FAJAR RD,1.383945101,103.7696137
526 JELAPANG RD,1.3854586290000002,103.7652187
623 SENJA RD,1.3862561009999999,103.76220129999999
128 PENDING RD,1.3759951119999998,103.7697662
