address,storey_range,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,sold_year,sold_month,latitude,longitude,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive,mrt_dist,near_bus_itc,near_mrt_itc,bus_u300m,bus_dist,mall_u1km,mall_dist,pri_u1km,pri_u2km,pri_aff_u1km,pri_aff_u2km,pri_elite_u1km,pri_elite_u2km,sec_u1km,sec_u2km,sec_aff_u1km,sec_aff_u2km,sec_elite_u1km,sec_elite_u2km,dist_to_highway,dist_to_exits,price_per_sqft,unit_price,elem_price,hex_id,town,town_min_unit_price,town_max_unit_price,appeal_score
475D UPP SERANGOON CRES,9.5,89.5,2014.0,93.835,571500.0,2019.5,7.0,1.375182544,103.900406,32.85,47.22,65.4,36.2,58.03,24.98,34.2,36.37,23.1,26.93,901.0,0.0,0.0,6.0,90.0,2.0,786.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,860.0,642.0,6362.006929637527,67.79908977562903,19.149764378595904,3628.0,HOUGANG,41.786204315828854,81.1839872703508,0.6602626723901606
476 ANG MO KIO AVE 10,7.25,71.875,1979.0,60.005625,292906.25,2018.125,5.875,1.3623882919999997,103.85788060000004,30.64999999999999,37.95,50.100000000000016,26.62,48.57000000000002,17.229999999999997,24.649999999999995,28.38,13.680000000000005,30.680000000000003,1182.0,0.0,0.0,4.0,201.0,1.0,853.0,3.0,9.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,2.0,85.0,407.0,4069.5836516959557,67.78992943349007,14.110298141282088,2944.0,ANG MO KIO,48.941092721124754,93.79298471217095,0.42024618975110617
476 JURONG WEST ST 41,6.7142857142857135,81.42857142857143,1984.0,64.85857142857144,303555.4285714286,2018.2857142857144,7.428571428571429,1.3477157430000002,103.7241842,38.43,31.67000000000001,18.12,43.03000000000001,72.08,27.7,19.6,7.200000000000001,26.57,46.10000000000001,533.0,0.0,0.0,4.0,120.0,0.0,1310.0,3.0,9.0,0.0,0.0,2.0,2.0,6.0,9.0,0.0,1.0,0.0,1.0,700.0,633.0,3713.9886755606617,57.22128902966154,14.94344076473804,5196.0,JURONG WEST,36.95491500369549,74.36245474002018,0.5417724386264926
476 PASIR RIS DR 6,4.0,108.0,1989.0,70.265,425166.66666666674,2018.0,7.833333333333332,1.3748764919999998,103.95779190000003,36.82,59.95,74.08,48.07,27.1,31.38,40.6,42.77,29.079999999999995,16.38,967.0,0.0,0.0,7.0,68.0,2.0,465.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1014.0,1073.0,3941.6843384641606,56.10512414061966,18.662266176390084,2381.0,PASIR RIS,43.50398179749715,71.55825353538319,0.449170182026334
476 SEGAR RD,8.75,105.625,2002.0,83.27,369500.0,2018.375,3.625,1.3890520169999996,103.77349389999998,57.13,49.92000000000001,45.87,50.72,81.27999999999999,30.57999999999999,26.28,17.680000000000003,23.23,42.77,1703.0,0.0,0.0,2.0,242.0,2.0,624.0,3.0,6.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,101.0,65.0,3503.990745838572,42.07680864290552,6.950958538642429,3279.0,BUKIT PANJANG,41.18990670299474,70.64784749753744,0.03010739773348596
476 SEMBAWANG DR,9.0,110.0,2000.0,80.99666666666667,386629.33333333326,2018.333333333333,5.333333333333333,1.4515496319999999,103.8169317,45.48,54.82,45.70000000000001,41.45,63.4,39.52,41.68,36.73,35.97,45.70000000000001,483.0,1.0,0.0,8.0,123.0,1.0,464.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3592.0,3441.0,3514.8121212121227,43.39705168011203,4.917819603817483,238.0,SEMBAWANG,38.702890868179296,58.66005130077338,0.23521185931171937
476 TAMPINES ST 44,4.0,146.0,1993.0,74.22333333333334,622333.3333333335,2018.0,5.0,1.360922839,103.95335940000001,45.38,70.03,80.07,61.48,20.88,28.27,36.18,38.35,24.820000000000004,13.800000000000002,624.0,0.0,0.0,7.0,138.0,0.0,1172.0,3.0,11.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,431.0,490.0,4244.999009704893,57.190689982951106,17.373513626729277,4360.0,TAMPINES,45.923453241354,83.46135467326172,0.300156277037368
476A CHOA CHU KANG AVE 5,10.842105263157897,81.47368421052632,2013.0,94.16315789473684,355429.68421052635,2017.8947368421047,6.684210526315789,1.3765201850000002,103.7380257,47.37,40.73,32.60000000000001,44.73000000000001,76.79999999999998,33.95,25.85000000000001,12.22,27.87,47.41999999999999,1231.0,0.0,0.0,9.0,37.0,2.0,188.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,525.0,488.0,4405.006045288432,46.77910485956942,5.5180328876873865,1755.0,CHOA CHU KANG,38.237492386353885,61.43536358576746,0.36820673758338057
476A UPP SERANGOON VIEW,11.818181818181818,72.45454545454545,2016.0,95.1818181818182,387525.09090909094,2019.6363636363642,5.454545454545454,1.3767603820000005,103.90405039999996,33.77,47.92000000000001,65.60000000000001,37.23,51.88,23.38,32.62,34.779999999999994,21.03,24.87,1343.0,0.0,0.0,3.0,170.0,1.0,988.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,571.0,526.0,5375.75327303813,56.47781549457356,6.792467783534748,3612.0,HOUGANG,41.786204315828854,81.1839872703508,0.37290451586333373
476B CHOA CHU KANG AVE 5,8.6,80.0,2013.0,94.0925,342100.0,2017.95,6.8,1.3771182350000002,103.73755859999999,46.47000000000001,39.83000000000001,31.7,44.649999999999984,76.72000000000001,34.2,26.10000000000001,12.47,28.27999999999999,47.83000000000001,1208.0,0.0,0.0,8.0,107.0,2.0,183.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,450.0,426.0,4300.255754475704,45.71027664005713,9.273071205986176,1754.0,CHOA CHU KANG,38.237492386353885,61.43536358576746,0.3221323279824121
