coordinates,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive
"(1.3803122630000002, 103.7680736)",44.73,41.85,32.42,35.07,64.28,29.88,25.58,17.65,22.52,42.05
"(1.383945101, 103.7696137)",50.03,37.12,35.45,33.22,63.32,29.73,25.43,17.12,22.62,42.17
"(1.3854586290000002, 103.7652187)",38.07,39.55,34.95,34.77,65.75,30.63,25.77,14.82,23.27,42.8
"(1.3862561009999999, 103.76220129999999)",39.58,37.95,36.05,34.05,64.15,31.42,26.55,15.58,24.53,44.07
"(1.3759951119999998, 103.7697662)",37.72,38.33,35.82,41.62,64.53,27.7,23.4,14.77,20.32,39.85
"(1.373175165, 103.7748106)",45.13,38.8,36.28,40.75,65.0,27.78,23.48,14.57,20.42,39.97
"(1.388237313, 103.7721445)",54.5,52.55,38.82,45.27,76.72,29.62,25.32,16.72,22.35,41.88
"(1.3785675609999999, 103.7706474)",38.0,37.97,33.37,34.7,64.17,28.88,24.58,16.72,21.5,41.05
"(1.382941791, 103.7632483)",36.22,37.7,33.5,32.92,63.9,29.6,24.73,13.78,22.43,41.97
"(1.3873519380000001, 103.7670418)",50.87,38.6,37.12,34.7,64.8,30.35,26.03,16.13,22.97,42.52
